mese,area,valore_medio
gennaio-2021,Calabria,12.75
gennaio-2021,Abruzzo,16.61
gennaio-2021,Lombardia,85.43
gennaio-2021,Toscana,18.51
gennaio-2021,Basilicata,17.27
gennaio-2021,Campania,104.25
gennaio-2021,Piemonte,26.35
gennaio-2021,Liguria,11.67
gennaio-2021,ProvinciaAutonomaBolzano,23.27
gennaio-2021,FriuliVeneziaGiulia,25.05
gennaio-2021,Sicilia,28.57
gennaio-2021,EmiliaRomagna,40.61
gennaio-2021,Marche,23.56
gennaio-2021,Lazio,33.29
gennaio-2021,Molise,39.88
gennaio-2021,Puglia,5.50
gennaio-2021,Veneto,26.20
gennaio-2021,ProvinciaAutonomaTrento,36.96
gennaio-2021,ValleD'Aosta,26.47
gennaio-2021,Umbria,13.59
gennaio-2021,Sardegna,14.36
febbraio-2021,Calabria,19.11
febbraio-2021,Abruzzo,33.62
febbraio-2021,Lombardia,115.48
febbraio-2021,Toscana,30.55
febbraio-2021,Basilicata,32.17
febbraio-2021,Campania,142.81
febbraio-2021,Piemonte,34.36
febbraio-2021,Liguria,14.41
febbraio-2021,ProvinciaAutonomaBolzano,30.38
febbraio-2021,FriuliVeneziaGiulia,35.10
febbraio-2021,Sicilia,32.89
febbraio-2021,EmiliaRomagna,43.18
febbraio-2021,Marche,34.72
febbraio-2021,Lazio,46.74
febbraio-2021,Molise,55.99
febbraio-2021,Puglia,8.76
febbraio-2021,Veneto,27.53
febbraio-2021,ProvinciaAutonomaTrento,52.39
febbraio-2021,ValleD'Aosta,36.31
febbraio-2021,Umbria,15.22
febbraio-2021,Sardegna,17.77
marzo-2021,Calabria,50.35
marzo-2021,Abruzzo,79.74
marzo-2021,Lombardia,260.47
marzo-2021,Toscana,57.07
marzo-2021,Basilicata,54.89
marzo-2021,Campania,275.65
marzo-2021,Piemonte,62.05
marzo-2021,Liguria,36.60
marzo-2021,ProvinciaAutonomaBolzano,37.35
marzo-2021,FriuliVeneziaGiulia,63.30
marzo-2021,Sicilia,79.18
marzo-2021,EmiliaRomagna,104.76
marzo-2021,Marche,91.03
marzo-2021,Lazio,111.07
marzo-2021,Molise,176.37
marzo-2021,Puglia,18.16
marzo-2021,Veneto,87.61
marzo-2021,ProvinciaAutonomaTrento,109.43
marzo-2021,ValleD'Aosta,48.20
marzo-2021,Umbria,58.41
marzo-2021,Sardegna,54.91
aprile-2021,Calabria,84.27
aprile-2021,Abruzzo,124.18
aprile-2021,Lombardia,492.24
aprile-2021,Toscana,96.61
aprile-2021,Basilicata,94.61
aprile-2021,Campania,531.97
aprile-2021,Piemonte,112.86
aprile-2021,Liguria,68.13
aprile-2021,ProvinciaAutonomaBolzano,68.23
aprile-2021,FriuliVeneziaGiulia,98.00
aprile-2021,Sicilia,113.85
aprile-2021,EmiliaRomagna,161.19
aprile-2021,Marche,159.82
aprile-2021,Lazio,157.78
aprile-2021,Molise,218.75
aprile-2021,Puglia,36.30
aprile-2021,Veneto,120.81
aprile-2021,ProvinciaAutonomaTrento,171.73
aprile-2021,ValleD'Aosta,105.83
aprile-2021,Umbria,97.30
aprile-2021,Sardegna,96.67
maggio-2021,Calabria,149.26
maggio-2021,Abruzzo,193.73
maggio-2021,Lombardia,726.73
maggio-2021,Toscana,134.40
maggio-2021,Basilicata,147.88
maggio-2021,Campania,972.95
maggio-2021,Piemonte,143.63
maggio-2021,Liguria,69.09
maggio-2021,ProvinciaAutonomaBolzano,103.28
maggio-2021,FriuliVeneziaGiulia,162.76
maggio-2021,Sicilia,200.96
maggio-2021,EmiliaRomagna,206.44
maggio-2021,Marche,194.62
maggio-2021,Lazio,255.52
maggio-2021,Molise,291.14
maggio-2021,Puglia,54.35
maggio-2021,Veneto,174.33
maggio-2021,ProvinciaAutonomaTrento,239.08
maggio-2021,ValleD'Aosta,132.43
maggio-2021,Umbria,129.65
maggio-2021,Sardegna,137.30
