anno-fascia,area_1,previsione_1,area_2,previsione_2,area_3,previsione_3,area_4,previsione_4,area_5,previsione_5
2021-03-01 12-19,Puglia,6,Lazio,6,Sicilia,5,Veneto,5,Toscana,5
2021-03-01 20-29,Toscana,444,Puglia,363,Veneto,334,Piemonte,283,Lombardia,271
2021-03-01 30-39,Toscana,911,Campania,564,Puglia,545,Piemonte,393,Lombardia,388
2021-03-01 40-49,Toscana,1424,Campania,1150,Puglia,919,Lazio,880,Sicilia,678
2021-03-01 50-59,Campania,1867,Lazio,1159,Toscana,1069,Puglia,975,Sicilia,622
2021-03-01 60-69,Campania,960,Puglia,441,Lazio,286,Toscana,236,Veneto,163
2021-03-01 70-79,Lombardia,133,Lazio,91,Sardegna,54,Toscana,54,Sicilia,49
2021-03-01 80-89,Lazio,3192,EmiliaRomagna,3011,Lombardia,2986,Campania,2616,Veneto,2422
2021-03-01 90+,EmiliaRomagna,1436,Lombardia,1076,Lazio,705,Toscana,601,Piemonte,592
2021-04-01 12-19,Lombardia,30,Sicilia,25,Campania,22,Veneto,21,Lazio,20
2021-04-01 20-29,Lombardia,1234,Veneto,519,Lazio,291,Campania,278,Piemonte,255
2021-04-01 30-39,Lombardia,1906,Veneto,551,Lazio,537,Piemonte,344,Campania,323
2021-04-01 40-49,Lombardia,2618,Veneto,781,Lazio,615,Sardegna,488,Calabria,407
2021-04-01 50-59,Lombardia,3059,Veneto,1154,Lazio,860,Liguria,640,Sardegna,636
2021-04-01 60-69,Lazio,1544,Lombardia,1471,Veneto,1135,Sicilia,968,Campania,931
2021-04-01 70-79,Veneto,4268,Lazio,3899,EmiliaRomagna,3238,Sicilia,2951,Campania,2894
2021-04-01 80-89,Lombardia,11240,Veneto,7134,Piemonte,5468,EmiliaRomagna,5173,Lazio,4958
2021-04-01 90+,Lombardia,2551,Veneto,1744,Toscana,1527,EmiliaRomagna,1390,Lazio,1129
2021-05-01 12-19,Lombardia,157,Campania,85,Piemonte,64,EmiliaRomagna,57,Sicilia,57
2021-05-01 20-29,Lombardia,761,Campania,519,Lazio,514,Sicilia,444,Piemonte,353
2021-05-01 30-39,Lombardia,858,Campania,705,Sicilia,529,Lazio,488,EmiliaRomagna,453
2021-05-01 40-49,Lombardia,1518,Campania,1208,Sicilia,920,EmiliaRomagna,903,Piemonte,866
2021-05-01 50-59,Lombardia,3168,Campania,2400,Sicilia,1695,Piemonte,1544,EmiliaRomagna,1453
2021-05-01 60-69,Lombardia,12917,Campania,7137,Lazio,5437,Sicilia,4823,Veneto,4552
2021-05-01 70-79,Lombardia,22569,Puglia,8325,EmiliaRomagna,7078,Lazio,6958,Veneto,6509
2021-05-01 80-89,Lombardia,7195,Toscana,5474,Veneto,3369,Lazio,3319,EmiliaRomagna,3211
2021-05-01 90+,Veneto,1422,Lombardia,1275,Lazio,965,Sicilia,681,Puglia,659
2021-06-01 12-19,Sicilia,689,Lombardia,553,Puglia,351,Campania,302,EmiliaRomagna,132
2021-06-01 20-29,Lombardia,2893,Campania,2214,Sicilia,1363,EmiliaRomagna,1088,Lazio,773
2021-06-01 30-39,Lombardia,3580,Campania,2475,Lazio,1806,Sicilia,1635,EmiliaRomagna,1605
2021-06-01 40-49,Campania,8443,Lombardia,6532,Sicilia,5890,Lazio,5852,Puglia,2753
2021-06-01 50-59,Lombardia,18539,Campania,10899,Lazio,10360,Veneto,7897,Puglia,6963
2021-06-01 60-69,Lombardia,8186,Toscana,7207,Lazio,6911,EmiliaRomagna,6458,Piemonte,5644
2021-06-01 70-79,Lombardia,4213,Sicilia,3026,Toscana,2470,Lazio,2367,Piemonte,2175
2021-06-01 80-89,Sicilia,956,Campania,615,Liguria,186,ProvinciaAutonomaTrento,181,Marche,173
2021-06-01 90+,Sicilia,377,Lombardia,332,Campania,241,Veneto,179,EmiliaRomagna,125
